Bairro,Vizinho,Logradouro,Tipo
Dois Irmãos,Guabiraba,Rua Professor Cláudio Selva,residential
Sítio dos Pintos,Caxangá,Estrada dos Pintos,"['tertiary', 'residential']"
Sítio dos Pintos,Dois Irmãos,Estrada dos Pintos,residential
Sítio dos Pintos,Guabiraba,Estrada dos Pintos,"['tertiary', 'residential']"
Brejo da Guabiraba,Córrego do Jenipapo,Rua Arca de Noe,residential
Brejo da Guabiraba,Nova Descoberta,Rua Arca de Noe,residential
Brejo da Guabiraba,Brejo de Beberibe,Rua Arca de Noe,residential
Brejo da Guabiraba,Passarinho,Rua Arca de Noe,residential
Brejo da Guabiraba,Guabiraba,Rua Arca de Noe,residential
Brejo de Beberibe,Linha do Tiro,Avenida Vereador Otacílio Azevedo,secondary
Brejo de Beberibe,Alto José Bonifácio,Avenida Vereador Otacílio Azevedo,secondary
Brejo de Beberibe,Nova Descoberta,Avenida Vereador Otacílio Azevedo,secondary
Brejo de Beberibe,Vasco da Gama,Avenida Vereador Otacílio Azevedo,secondary
Brejo de Beberibe,Brejo da Guabiraba,Avenida Vereador Otacílio Azevedo,secondary
Brejo de Beberibe,Dois Unidos,Avenida Vereador Otacílio Azevedo,secondary
Brejo de Beberibe,Passarinho,Avenida Vereador Otacílio Azevedo,secondary
Dois Unidos,Beberibe,Avenida Hildebrando de Vasconcelos,tertiary
Dois Unidos,Linha do Tiro,Avenida Hildebrando de Vasconcelos,tertiary
Dois Unidos,Brejo de Beberibe,Avenida Hildebrando de Vasconcelos,tertiary
Dois Unidos,Passarinho,Avenida Hildebrando de Vasconcelos,tertiary
Passarinho,Brejo da Guabiraba,Avenida Chagas Ferreira,residential
Passarinho,Brejo de Beberibe,Avenida Chagas Ferreira,residential
Passarinho,Dois Unidos,Rua Vargem linda,residential
Passarinho,Guabiraba,Rua Vargem linda,residential
Guabiraba,Córrego do Jenipapo,Estrada da Mumbeca,secondary
Guabiraba,Dois Irmãos,Estrada da Mumbeca,secondary
Guabiraba,Sítio dos Pintos,Estrada da Mumbeca,secondary
Guabiraba,Brejo da Guabiraba,Estrada da Mumbeca,secondary
Guabiraba,Passarinho,Estrada da Mumbeca,secondary
Guabiraba,Pau-Ferro,Estrada da Mumbeca,secondary
Pau-Ferro,Guabiraba,Rua Evaristo da Veiga,residential
Pau-Ferro,Aldeia,Rua Evaristo da Veiga,residential
Aldeia,Pau-Ferro,Estrada da Mumbeca,secondary
Aldeia,Oitenta,Estrada da Mumbeca,secondary
Oitenta,Aldeia,"['Rua José Rufino', 'Rua Assis Brasil']",residential
