Bairro,Vizinho,Logradouro,Tipo,Peso,Tipo Normalizado,Id Rua,Comentário OSM
Encruzilhada,Campo Grande,Avenida Beberibe,primary,1.2,Avenida principal,https://openstreetmap.org/way/967666039,"Added a turn restriction, set lanes, crossing tags and adjusted geometry  in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1066"
Espinheiro,Aflitos,Avenida João de Barros,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128683794,Specify surfaces
Espinheiro,Encruzilhada,Avenida João de Barros,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128683794,Specify surfaces
Espinheiro,Torreão,Rua Marquês do Paraná,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/144474968,Specify surfaces
Espinheiro,Graças,Avenida João de Barros,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128683794,Specify surfaces
Graças,Rosarinho,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Aflitos,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Tamarineira,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Encruzilhada,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Espinheiro,Boa Vista,Avenida João de Barros,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128683794,Specify surfaces
Espinheiro,Santo Amaro,Avenida João de Barros,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128683794,Specify surfaces
Graças,Espinheiro,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Jaqueira,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Boa Vista,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Derby,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Graças,Madalena,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Torreão,Campo Grande,Rua Cândido Lacerda,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/128218928,Aligned residential and service ways
Joana Bezerra,Ilha do Leite,Rua Braço do Norte,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/255536611,Aligned residential ways near Ilha Joana Bezerra
Torreão,Espinheiro,Rua Cândido Lacerda,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/128218928,Aligned residential and service ways
Torreão,Encruzilhada,Rua Cândido Lacerda,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/128218928,Aligned residential and service ways
Joana Bezerra,Coelhos,Rua Braço do Norte,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/255536611,Aligned residential ways near Ilha Joana Bezerra
Joana Bezerra,Afogados,Rua Braço do Norte,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/255536611,Aligned residential ways near Ilha Joana Bezerra
Joana Bezerra,Paissandu,Rua Braço do Norte,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/255536611,Aligned residential ways near Ilha Joana Bezerra
Joana Bezerra,Ilha do Retiro,Rua Braço do Norte,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/255536611,Aligned residential ways near Ilha Joana Bezerra
Graças,Torre,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393,Specify road smoothness
Torreão,Santo Amaro,Rua Othon Paraíso,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/128219448,"Updated geometry, added lanes and a crossing in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Bairro do Recife,Santo Amaro,Rua Álvares Cabral,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/51816239,mão dupla para bicicletas em vias menores do Recife Antigo.
Bairro do Recife,Santo Antônio,Rua Álvares Cabral,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/51816239,mão dupla para bicicletas em vias menores do Recife Antigo.
Bairro do Recife,Campo Grande,Rua Álvares Cabral,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/51816239,mão dupla para bicicletas em vias menores do Recife Antigo.
Santo Amaro,Espinheiro,Rua Coelho Leite,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/132055216,Inserindo Ceps de Ruas no Bairro de santo amaro - Recife/PE Conforme CNEFE. Parte18.
Santo Amaro,Torreão,Avenida da Saudade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128161935,Added a oneway tag to part of Avenida da Saudade #adt
Santo Amaro,Bairro do Recife,Avenida da Saudade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128161935,Added a oneway tag to part of Avenida da Saudade #adt
Santo Amaro,Boa Vista,Avenida da Saudade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128161935,Added a oneway tag to part of Avenida da Saudade #adt
Santo Amaro,Soledade,Rua Coelho Leite,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/132055216,Inserindo Ceps de Ruas no Bairro de santo amaro - Recife/PE Conforme CNEFE. Parte18.
Santo Amaro,Santo Antônio,Avenida da Saudade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128161935,Added a oneway tag to part of Avenida da Saudade #adt
Santo Amaro,Campo Grande,Avenida da Saudade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128161935,Added a oneway tag to part of Avenida da Saudade #adt
Boa Vista,Graças,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Santo Amaro,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Espinheiro,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Coelhos,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Derby,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Ilha do Leite,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Santo Antônio,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Boa Vista,Paissandu,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Coelhos,Joana Bezerra,Rua Júlio Bernardo,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/367543798,Inclusion of Street Names in the City of Recife/PE - Brasil - #kaart #2022 #Brasil  #maproulette
Coelhos,Ilha do Leite,Rua Júlio Bernardo,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/367543798,Inclusion of Street Names in the City of Recife/PE - Brasil - #kaart #2022 #Brasil  #maproulette
Boa Vista,Soledade,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656119805,"Modified priority of roads in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Coelhos,Boa Vista,Rua Júlio Bernardo,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/367543798,Inclusion of Street Names in the City of Recife/PE - Brasil - #kaart #2022 #Brasil  #maproulette
Coelhos,Santo Antônio,Rua Júlio Bernardo,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/367543798,Inclusion of Street Names in the City of Recife/PE - Brasil - #kaart #2022 #Brasil  #maproulette
Derby,Graças,Rua Barão de Goiana,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/132901896,Specify road smoothness
Derby,Boa Vista,Rua Barão de Goiana,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/132901896,Specify road smoothness
Derby,Ilha do Retiro,Rua Barão de Goiana,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/132901896,Specify road smoothness
Derby,Paissandu,Rua Barão de Goiana,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/132901896,Specify road smoothness
Ilha do Leite,Joana Bezerra,Rua Estado de Israel,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/129178018,Specify road surfaces
Ilha do Leite,Boa Vista,Rua Marquês Amorim,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/652525663,"Added oneways to roads in Recife, Brazil. #Kaart Ground Survey 2021"
Derby,Madalena,Rua Barão de Goiana,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/132901896,Specify road smoothness
Ilha do Leite,Paissandu,Rua Estado de Israel,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/129178018,Specify road surfaces
Paissandu,Boa Vista,Avenida Portugal,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656120186,"Qualidade de Rodagem das Vias Residenciais (Recife, Pernambuco, Brazil)"
Paissandu,Joana Bezerra,Avenida Portugal,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656120186,"Qualidade de Rodagem das Vias Residenciais (Recife, Pernambuco, Brazil)"
Ilha do Leite,Coelhos,Rua Marquês Amorim,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/652525663,"Added oneways to roads in Recife, Brazil. #Kaart Ground Survey 2021"
Paissandu,Derby,Avenida Portugal,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656120186,"Qualidade de Rodagem das Vias Residenciais (Recife, Pernambuco, Brazil)"
Paissandu,Ilha do Leite,Avenida Portugal,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656120186,"Qualidade de Rodagem das Vias Residenciais (Recife, Pernambuco, Brazil)"
Paissandu,Ilha do Retiro,Avenida Portugal,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656120186,"Qualidade de Rodagem das Vias Residenciais (Recife, Pernambuco, Brazil)"
Paissandu,Madalena,Avenida Portugal,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/656120186,"Qualidade de Rodagem das Vias Residenciais (Recife, Pernambuco, Brazil)"
Santo Antônio,Bairro do Recife,Rua Diário de Pernambuco,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/892080169,"inclusão de calçadas, endereços e correção de edificação na cidade de Recife-PE."
Santo Antônio,Coelhos,Avenida Guararapes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129490260,"Added conditional restriction in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Santo Antônio,Santo Amaro,Avenida Guararapes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129490260,"Added conditional restriction in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Santo Antônio,Boa Vista,Avenida Guararapes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129490260,"Added conditional restriction in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Afogados,Bongi,Rua Doutor Adelino,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/137186687,Specify surfaces
Afogados,Ilha do Retiro,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/137186697,"Added pedestrian road crossings. Updated number of road lanes and name in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Soledade,Santo Amaro,Avenida Oliveira Lima,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128216048,inclusão de Edificios na em Recife - PE.
Soledade,Boa Vista,Avenida Oliveira Lima,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128216048,inclusão de Edificios na em Recife - PE.
Afogados,Joana Bezerra,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/137186697,"Added pedestrian road crossings. Updated number of road lanes and name in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Afogados,Mangueira,Rua Doutor Adelino,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/137186687,Specify surfaces
Afogados,Mustardinha,Rua Doutor Adelino,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/137186687,Specify surfaces
Afogados,Pina,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/137186697,"Added pedestrian road crossings. Updated number of road lanes and name in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Afogados,Prado,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/137186697,"Added pedestrian road crossings. Updated number of road lanes and name in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Afogados,Jiquiá,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/137186697,"Added pedestrian road crossings. Updated number of road lanes and name in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Bongi,Afogados,Rua Randolfo Pinto Ferreira,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/192027730,Добавил дорогу
Afogados,Imbiribeira,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/137186697,"Added pedestrian road crossings. Updated number of road lanes and name in Recife, Brazil. #Kaart Ground Survey 2021 #Kaart-1064"
Brasília Teimosa,Pina,Rua Atum,residential,2.0,Rua local / de bairro	,https://openstreetmap.org/way/647079907,Added road names and highways in Recife retrieved from IBGE Map of Urban Areas. #Kaart 2018
